Country-code,Major area (UN),"Region (GR)
(UN)",Sort Bureau,Bureu/operation (UNHCR),COUNTRY,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"Internally Displaced Persons (IDPs) protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons,Others helped by UNHCR,Total population of concern
NIG,Africa,West Africa,1,WA,Nigeria,"10,124",0,"10,124","10,124","1,218",2,0,0,0,0,"11,344"
NOR,Europe,Western Europe,4,RBE,Norway,"36,101",0,"36,101",0,"13,627",0,0,0,489,0,"50,217"
GAZ,Asia,The Middle East,3,MENA,Occupied Palestinian Territory,0,0,0,0,0,4,0,0,0,0,4
OMN,Asia,The Middle East,3,MENA,Oman,7,0,7,7,47,0,0,0,0,0,54
PAK,Asia,South-West Asia,2,RBAP,Pakistan,"765,720","1,015,215","1,780,935","765,720","2,951",5,"155,809",0,0,0,"1,939,700"
PAN,Latin America and the Caribbean,Latin America,5,RBAC,Panama,"1,913","15,000","16,913","3,707",601,0,0,0,1,0,"17,515"
PNG,Oceania,East Asia and the Pacific,2,RBAP,Papua New Guinea,"10,006",0,"10,006","2,634",7,0,0,0,0,0,"10,013"
PAR,Latin America and the Caribbean,Latin America,5,RBAC,Paraguay,75,0,75,75,4,0,0,0,0,0,79
PER,Latin America and the Caribbean,Latin America,5,RBAC,Peru,"1,075",0,"1,075",166,587,1,0,0,0,0,"1,663"
PHI,Asia,East Asia and the Pacific,2,RBAP,Philippines,104,0,104,10,89,0,0,0,0,87,280
POL,Europe,Central Europe and the Baltic States,4,RBE,Poland,"12,774",0,"12,774",0,"4,403",0,0,0,839,0,"18,016"
POR,Europe,Western Europe,4,RBE,Portugal,403,0,403,0,0,0,0,0,273,0,676
QAT,Asia,The Middle East,3,MENA,Qatar,13,0,13,13,37,0,0,0,"1,200",0,"1,250"
KOR,Asia,East Asia and the Pacific,2,RBAP,Rep. of Korea,172,0,172,24,"1,289",0,0,0,236,0,"1,697"
MDA,Europe,Eastern Europe,4,RBE,Rep. of Moldova,148,0,148,148,33,0,0,0,"1,807",0,"1,988"
ROM,Europe,Central Europe and the Baltic States,4,RBE,Romania,"1,596",0,"1,596",184,303,0,0,0,253,0,"2,152"
